client_id,name,email,service,status,date
9822,Jacinto Rios,hamit29176@aixind.com,Internet,Active,20/02/1996
9489,David Luque,gregeuragrowi-4178@yopmail.com,Internet,Inactive,20/02/1996
8976,Felix Frias,natopaucoutoi-4513@yopmail.com,Internet,Inactive,22/02/1996
8928,Frey Esqiu,buxeubriprage-5940@yopmail.com,Internet,Inactive,23/02/1996
7848,Simon Bolivar,pounnasapeika-3851@yopmail.com,Internet,Active,10/02/1997
7182,Dante Aligheri,frannetteiddaqua-8288@yopmail.com,Internet,Inactive,25/02/1996
6548,Juan Pellato,maddauttappaba-5646@yopmail.com,Internet,Inactive,26/02/1996
4561,San Juan,neizouvojeucra-2084@yopmail.com,Internet,Inactive,27/02/1996
3264,Obispo Trejo,bihicomuhou-3194@yopmail.com,Internet,Inactive,28/02/1996
3218,Roma Italia,crabrerouxuba-8329@yopmail.com,Internet,Active,29/02/1996
3215,Jose Artigas,gruzoyaufrome-5558@yopmail.com,Internet,Inactive,01/03/1996
2928,Nicolas Avellaneda,touzeddousequo-5184@yopmail.com,Internet,Active,03/03/1996
2926,Martin Garcia,lallehoudave-1326@yopmail.com,Internet,Inactive,03/03/1996
2598,Felix Paz,felixpaz@gmail.com,Internet,Active,04/03/1996
2265,Ovidio Lagos,zauzukugruni-4759@yopmail.com,Internet,Active,05/03/1996
2165,San Lorenzo,Sanlocura@gmail.com,Internet,Active,06/03/1996
1871,Ramiro Ituzaingo,paneukuttuno-4479@yopmail.com,Internet,Inactive,07/03/1996
1865,Buenos Aires,moizuffukauvi-9181@yopmail.com,Internet,Active,08/03/1996
1654,Intendente Mestre,puppeitiwoifoi-8202@yopmail.com,Internet,Active,09/03/1996
