client_id,name,email,service,status,date
1865,Jacinto Rios,hamit29176@aixind.com,Internet,high,20/02/1996
2165,David Luque,gregeuragrowi-4178@yopmail.com,Internet,law,20/02/1996
1654,Felix Frias,natopaucoutoi-4513@yopmail.com,Internet,law,22/02/1996
6548,Frey Esqiu,buxeubriprage-5940@yopmail.com,Internet,law,23/02/1996
4561,Simon Bolivar,pounnasapeika-3851@yopmail.com,Internet,high,
3215,Dante Aligheri,frannetteiddaqua-8288@yopmail.com,Internet,law,25/02/1996
3218,Juan Pellato,maddauttappaba-5646@yopmail.com,Internet,law,26/02/1996
8976,San Juan,neizouvojeucra-2084@yopmail.com,Internet,,27/02/1996
9489,Obispo Trejo,bihicomuhou-3194@yopmail.com,Internet,,28/02/1996
9822,Roma Italia,crabrerouxuba-8329@yopmail.com,Internet,high,29/02/1996
2926,Jose Artigas,gruzoyaufrome-5558@yopmail.com,Internet,law,01/03/1996
2928,Nicolas Avellaneda,touzeddousequo-5184@yopmail.com,Internet,high,03*03/1996
7848,Martin Garcia,lallehoudave-1326@yopmail.com,Internet,law,03/03/1996
2598,Felix Paz,,Internet,high,04/03/1996
2265,Ovidio Lagos,zauzukugruni-4759@yopmail.com,Internet,high,05/03/1996
3264,San Lorenzo,,Internet,high,06/03/1996
8928,Ramiro Ituzaingo,paneukuttuno-4479@yopmail.com,Internet,law,07/03/1996
7182,Buenos Aires,moizuffukauvi-9181@yopmail.com,Internet,high,08/03/1996
1871,Intendente Mestre,puppeitiwoifoi-8202@yopmail.com,Internet,high,09/03/1996
